,DateTime,Open,High,Low,Close,Volume
0,1622246400000,0.9006,0.9306,0.7904,0.8315,21248486.75
1,1622332800000,0.8319,0.8946,0.7784,0.8491,19187675.92
2,1622419200000,0.8491,0.9385,0.8139,0.9359,23377949.57
3,1622505600000,0.9356,0.9515,0.876,0.8952,20571318.46
4,1622592000000,0.8951,1.0708,0.8725,1.0187,34348783.01
5,1622678400000,1.0189,1.1537,1.0049,1.1113,34622258.52
6,1622764800000,1.1119,1.133,0.9719,1.0284,30312792.76
7,1622851200000,1.0274,1.0942,0.947,0.9763,24711755.92
8,1622937600000,0.9752,1.0253,0.9642,1.0247,14186891.49
9,1623024000000,1.0248,1.089,0.9469,0.9633,20579526.56
10,1623110400000,0.9632,0.9766,0.856,0.9406,26800573.26
11,1623196800000,0.9403,1.1523,0.9076,1.0415,68702978.3
12,1623283200000,1.041,1.0522,0.9741,1.0496,36549059.74
13,1623369600000,1.0488,1.0819,0.9566,0.9732,39320033.71
14,1623456000000,0.9729,1.0198,0.9105,0.991,23426336.5
15,1623542400000,0.9907,1.0662,0.9626,1.0406,18843798.88
16,1623628800000,1.0411,1.0865,1.0241,1.0552,20055900.79
17,1623715200000,1.0557,1.0937,1.0229,1.0323,19892856.17
18,1623801600000,1.0324,1.057,0.998,1.0178,15850200.16
19,1623888000000,1.0178,1.0848,1.0128,1.0646,19738793.88
20,1623974400000,1.0646,1.0924,0.9599,0.992,20249014.79
21,1624060800000,0.9918,0.992,0.934,0.934,16974573.76
22,1624147200000,0.935,0.9527,0.878,0.9339,19487672.69
23,1624233600000,0.9342,0.9416,0.7505,0.7539,38568300.57
24,1624320000000,0.7536,0.8553,0.6712,0.7436,58396503.62
25,1624406400000,0.7434,0.8708,0.713,0.8323,35395187.77
26,1624492800000,0.8327,0.8947,0.796,0.8743,16670371.31
27,1624579200000,0.8746,0.8988,0.7781,0.7904,23275845.25
28,1624665600000,0.7908,0.8259,0.7603,0.8094,20398020.3
29,1624752000000,0.8089,0.849,0.771,0.8358,17215147.44
30,1624838400000,0.836,0.8646,0.8218,0.8426,16809517.34
31,1624924800000,0.8425,0.9241,0.839,0.8889,18054385.86
32,1625011200000,0.8883,0.9124,0.833,0.8833,15547037.92
33,1625097600000,0.8836,0.8839,0.8104,0.834,14216317.3
34,1625184000000,0.833,0.8459,0.7989,0.8456,9905766.21
35,1625270400000,0.8457,0.885,0.8337,0.8764,7593790.39
36,1625356800000,0.8761,0.9142,0.8562,0.88,7600902.36
37,1625443200000,0.8793,0.8921,0.8386,0.8728,10676768.51
38,1625529600000,0.8731,0.9336,0.8715,0.9132,15437352.09
39,1625616000000,0.9129,0.9408,0.9015,0.9062,12482528.75
40,1625702400000,0.906,0.9076,0.8474,0.8683,13542386.8
41,1625788800000,0.8676,0.9336,0.8288,0.9058,19120633.52
42,1625875200000,0.9059,0.9225,0.8662,0.8918,9079190.96
43,1625961600000,0.8922,0.9185,0.8848,0.8952,7161488.41
44,1626048000000,0.8953,0.9044,0.8504,0.8675,8082545.18
45,1626134400000,0.8672,0.8973,0.8487,0.8753,9496720.42
46,1626220800000,0.8748,0.881,0.8218,0.8587,11958303.4
47,1626307200000,0.8585,0.8792,0.82,0.8347,9883519.86
48,1626393600000,0.8348,0.8513,0.7732,0.7842,15193894.31
49,1626480000000,0.7843,0.8067,0.7717,0.7843,10709935.78
50,1626566400000,0.7836,0.8137,0.7746,0.7981,8872525.42
51,1626652800000,0.7984,0.8087,0.7473,0.7505,10143048.26
52,1626739200000,0.7507,0.7657,0.676,0.6961,20985312.95
53,1626825600000,0.6963,0.7829,0.6817,0.7701,16155479.42
54,1626912000000,0.7702,0.7995,0.7538,0.7961,13625897.64
55,1626998400000,0.7965,0.8165,0.7704,0.8078,12525368.77
56,1627084800000,0.8082,0.846,0.8034,0.8262,13230184.51
57,1627171200000,0.8262,0.9074,0.7958,0.8905,19061475.13
58,1627257600000,0.8901,0.9339,0.84,0.8476,28792705.42
59,1627344000000,0.8472,0.8689,0.8245,0.8605,6310114.88
