,DateTime,Open,High,Low,Close,Volume
0,1622246400000,1.59,1.753,1.48,1.742,19646401.098
1,1622332800000,1.74,1.8,1.615,1.679,21863942.068
2,1622419200000,1.679,1.968,1.599,1.956,19396942.619
3,1622505600000,1.956,2.08,1.784,2.05,19757394.87
4,1622592000000,2.049,2.518,1.983,2.333,46303154.435
5,1622678400000,2.333,2.747,2.297,2.503,38353504.637
6,1622764800000,2.502,2.788,2.152,2.686,43590603.874
7,1622851200000,2.681,2.9,2.4,2.531,36683981.669
8,1622937600000,2.529,2.621,2.402,2.457,23505210.838
9,1623024000000,2.458,2.573,2.119,2.151,23026444.459
10,1623110400000,2.151,2.379,1.982,2.315,30040664.533
11,1623196800000,2.314,2.584,2.162,2.525,33994468.402
12,1623283200000,2.525,2.54,2.21,2.265,21733792.311
13,1623369600000,2.264,2.308,2.062,2.162,21119314.699
14,1623456000000,2.162,2.29,2.003,2.086,19085730.553
15,1623542400000,2.085,2.271,2.052,2.205,13581045.1
16,1623628800000,2.205,2.323,2.15,2.273,16092506.753
17,1623715200000,2.271,2.356,2.192,2.236,15112346.907
18,1623801600000,2.237,2.254,2.041,2.075,13380367.213
19,1623888000000,2.074,2.174,2.01,2.096,9136036.486
20,1623974400000,2.096,2.137,1.842,1.925,15481946.752
21,1624060800000,1.925,1.97,1.854,1.854,8909015.371
22,1624147200000,1.853,1.959,1.744,1.921,12964018.5
23,1624233600000,1.92,1.949,1.418,1.446,23361099.935
24,1624320000000,1.446,1.591,1.216,1.404,33546717.936
25,1624406400000,1.403,1.579,1.337,1.504,19268907.867
26,1624492800000,1.506,1.725,1.441,1.681,18296160.382
27,1624579200000,1.683,1.74,1.43,1.44,22511059.013
28,1624665600000,1.44,1.514,1.365,1.491,18380167.364
29,1624752000000,1.49,1.6,1.437,1.587,12306178.639
30,1624838400000,1.587,1.667,1.552,1.617,10885753.93
31,1624924800000,1.617,1.862,1.603,1.795,15317721.751
32,1625011200000,1.793,1.847,1.674,1.815,12464275.398
33,1625097600000,1.816,1.855,1.65,1.687,13415185.361
34,1625184000000,1.687,1.726,1.566,1.661,10112442.107
35,1625270400000,1.66,1.787,1.63,1.757,6720391.354
36,1625356800000,1.757,1.904,1.701,1.839,10888774.215
37,1625443200000,1.839,1.848,1.687,1.797,11669284.243
38,1625529600000,1.797,2.062,1.793,1.967,19766399.507
39,1625616000000,1.966,2.099,1.93,1.94,12182111.881
40,1625702400000,1.939,1.95,1.709,1.756,14195425.048
41,1625788800000,1.754,1.796,1.676,1.768,7781799.71
42,1625875200000,1.767,1.809,1.658,1.749,6662369.571
43,1625961600000,1.749,1.78,1.715,1.76,5531727.717
44,1626048000000,1.76,1.791,1.639,1.68,6134533.651
45,1626134400000,1.679,1.69,1.567,1.605,5693717.841
46,1626220800000,1.604,1.632,1.504,1.597,7989879.709
47,1626307200000,1.598,1.649,1.486,1.505,7027001.862
48,1626393600000,1.505,1.544,1.41,1.416,6874468.349
49,1626480000000,1.417,1.465,1.393,1.425,4996509.942
50,1626566400000,1.426,1.509,1.393,1.412,5359469.636
51,1626652800000,1.412,1.42,1.323,1.341,6468626.194
52,1626739200000,1.341,1.371,1.222,1.282,8517067.32
53,1626825600000,1.28,1.474,1.244,1.449,9033586.254
54,1626912000000,1.448,1.549,1.414,1.543,9277548.428
55,1626998400000,1.543,1.618,1.477,1.603,9378666.936
56,1627084800000,1.604,1.617,1.513,1.548,9109681.804
57,1627171200000,1.545,1.558,1.459,1.524,7716123.761
58,1627257600000,1.525,1.71,1.516,1.53,16847271.374
59,1627344000000,1.531,1.574,1.472,1.554,5283382.256
