,DateTime,Open,High,Low,Close,Volume
0,1622246400000,0.813,0.8439,0.6955,0.7462,21522759.64
1,1622332800000,0.7467,0.84,0.6917,0.7813,20970567.29
2,1622419200000,0.7821,0.8566,0.7384,0.8487,17293597.61
3,1622505600000,0.8486,0.8689,0.7989,0.8294,13018388.82
4,1622592000000,0.8302,0.8758,0.8078,0.8572,14164029.96
5,1622678400000,0.8572,0.9039,0.8387,0.889,14341143.64
6,1622764800000,0.8886,0.8999,0.7714,0.8145,23221536.24
7,1622851200000,0.8157,0.89,0.7876,0.8157,22235852.04
8,1622937600000,0.8149,0.8306,0.8009,0.8216,6262029.49
9,1623024000000,0.8216,0.8333,0.7291,0.7407,11616278.28
10,1623110400000,0.7401,0.7567,0.628,0.7115,19278722.15
11,1623196800000,0.711,0.7418,0.6639,0.7375,14203789.89
12,1623283200000,0.7377,0.7417,0.6771,0.6981,10175220.15
13,1623369600000,0.6976,0.7924,0.6749,0.6943,35657260.11
14,1623456000000,0.6943,0.696,0.6266,0.657,15663759.46
15,1623542400000,0.6579,0.6983,0.6401,0.6934,8997532.71
16,1623628800000,0.693,0.7161,0.6743,0.712,10003826.28
17,1623715200000,0.7113,0.7391,0.6912,0.7104,10819544.87
18,1623801600000,0.7107,0.7612,0.686,0.7082,26132801.15
19,1623888000000,0.7077,0.7317,0.667,0.6909,10285208.88
20,1623974400000,0.6909,0.6909,0.6153,0.6476,8930924.46
21,1624060800000,0.6473,0.6599,0.6238,0.6301,5506544.96
22,1624147200000,0.6303,0.6362,0.5775,0.623,7888082.16
23,1624233600000,0.6228,0.6272,0.4616,0.4634,22429899.36
24,1624320000000,0.464,0.5078,0.3715,0.4372,37044980.02
25,1624406400000,0.4376,0.5114,0.4141,0.5034,21171978.49
26,1624492800000,0.5033,0.5514,0.4679,0.5261,16460020.32
27,1624579200000,0.5263,0.546,0.4652,0.472,13134865.77
28,1624665600000,0.4728,0.4915,0.4378,0.4698,9707349.45
29,1624752000000,0.4701,0.4954,0.4533,0.4938,7742093.43
30,1624838400000,0.4941,0.517,0.484,0.5077,9261119.38
31,1624924800000,0.5077,0.5633,0.505,0.5507,11436441.96
32,1625011200000,0.5504,0.5812,0.5143,0.58,16148530.58
33,1625097600000,0.5802,0.597,0.5222,0.5504,15035823.43
34,1625184000000,0.5511,0.56,0.5099,0.5391,7803195.45
35,1625270400000,0.5391,0.573,0.5292,0.5616,6679233.14
36,1625356800000,0.5621,0.5992,0.5405,0.5807,14345388.53
37,1625443200000,0.5807,0.5809,0.53,0.5464,15784440.5
38,1625529600000,0.5467,0.635,0.5454,0.6135,28381498.3
39,1625616000000,0.6132,0.7888,0.6074,0.7223,90010962.58
40,1625702400000,0.7223,0.8476,0.6211,0.6406,125148852.98
41,1625788800000,0.6401,0.7219,0.5982,0.6944,76183982.24
42,1625875200000,0.6942,0.7857,0.6821,0.7493,104238024.73
43,1625961600000,0.7499,0.7848,0.7174,0.7439,47712060.23
44,1626048000000,0.7445,0.7447,0.6619,0.6767,34740531.0
45,1626134400000,0.6768,0.71,0.6356,0.6499,44994254.76
46,1626220800000,0.6508,0.747,0.5862,0.7136,72371964.39
47,1626307200000,0.7137,0.7575,0.6411,0.663,85883948.19
48,1626393600000,0.6622,0.6843,0.6038,0.6058,36595919.56
49,1626480000000,0.6057,0.6171,0.587,0.6043,25039195.12
50,1626566400000,0.6041,0.6513,0.598,0.6115,26000240.31
51,1626652800000,0.6114,0.6158,0.5562,0.5604,15819157.07
52,1626739200000,0.5607,0.5631,0.4917,0.5168,23466050.72
53,1626825600000,0.5167,0.5886,0.5017,0.58,28069459.78
54,1626912000000,0.58,0.6063,0.5683,0.5905,35652387.28
55,1626998400000,0.59,0.6866,0.5827,0.6765,80391402.75
56,1627084800000,0.6764,0.757,0.66,0.7154,78111495.68
57,1627171200000,0.7153,0.7399,0.6723,0.7097,50747652.42
58,1627257600000,0.7096,0.7606,0.6729,0.6887,60225617.39
59,1627344000000,0.6883,0.7362,0.638,0.7052,28788211.22
