,DateTime,Open,High,Low,Close,Volume
0,1622246400000,0.9636,1.058,0.9154,0.9691,8540527.51
1,1622332800000,0.9701,1.0092,0.9162,0.9683,11484968.69
2,1622419200000,0.9654,1.0,0.9,0.9983,6388431.23
3,1622505600000,0.9983,1.0096,0.9453,0.9723,5069135.05
4,1622592000000,0.9738,1.0385,0.9635,1.0071,5585564.5
5,1622678400000,1.0065,1.0513,0.989,1.0492,4635696.07
6,1622764800000,1.0481,1.0894,0.9587,1.0243,7724409.51
7,1622851200000,1.0265,1.0491,0.9394,0.9693,5140878.46
8,1622937600000,0.9714,1.0329,0.961,1.0,4608051.64
9,1623024000000,1.0,1.0417,0.9116,0.9256,5005922.47
10,1623110400000,0.9267,0.937,0.8218,0.9094,6889350.3
11,1623196800000,0.9089,0.9427,0.8565,0.931,6584239.6
12,1623283200000,0.9311,0.9489,0.8826,0.9154,5252189.66
13,1623369600000,0.9161,1.0045,0.8778,0.8865,5636060.38
14,1623456000000,0.8867,0.89,0.8102,0.838,4154413.61
15,1623542400000,0.8379,0.917,0.8215,0.8959,4211976.21
16,1623628800000,0.8949,0.9062,0.8605,0.8963,5186429.42
17,1623715200000,0.8959,0.9175,0.8668,0.8896,3420223.54
18,1623801600000,0.8898,1.041,0.8885,0.9353,9455648.31
19,1623888000000,0.9329,0.9587,0.88,0.8981,2956743.8
20,1623974400000,0.8987,0.8987,0.8026,0.8284,5426861.58
21,1624060800000,0.8267,0.8401,0.8026,0.8154,2303037.81
22,1624147200000,0.8154,0.8312,0.7432,0.7973,4123777.09
23,1624233600000,0.7958,0.8001,0.5869,0.5869,11281977.99
24,1624320000000,0.5876,0.6454,0.5,0.6027,13205056.86
25,1624406400000,0.6046,0.6585,0.5772,0.6469,5593143.14
26,1624492800000,0.6469,0.7336,0.6077,0.7235,9190819.11
27,1624579200000,0.7239,0.7588,0.6351,0.6402,9357703.16
28,1624665600000,0.64,0.6657,0.5986,0.6476,6594203.52
29,1624752000000,0.6473,0.7117,0.6329,0.689,7228378.86
30,1624838400000,0.6874,0.7199,0.6641,0.7102,5893544.95
31,1624924800000,0.7109,0.7635,0.7004,0.751,3590970.1
32,1625011200000,0.7534,0.8,0.7235,0.7897,4738125.83
33,1625097600000,0.7913,0.8033,0.7308,0.7763,3688063.82
34,1625184000000,0.7749,0.8967,0.7721,0.8043,9553957.5
35,1625270400000,0.8058,0.8497,0.7767,0.8473,6416374.86
36,1625356800000,0.8466,0.9005,0.8043,0.8597,11180413.11
37,1625443200000,0.8562,0.8706,0.7854,0.812,19652592.37
38,1625529600000,0.8115,0.8772,0.8102,0.874,12133582.16
39,1625616000000,0.877,1.0332,0.8743,0.9755,7399863.9
40,1625702400000,0.9743,1.28,0.9742,1.2132,28486346.91
41,1625788800000,1.2168,1.2388,1.0006,1.1811,15319594.32
42,1625875200000,1.1845,1.3418,1.1105,1.2288,13808950.04
43,1625961600000,1.228,1.4709,1.222,1.3753,13675148.31
44,1626048000000,1.3752,1.3753,1.1843,1.1843,7125081.56
45,1626134400000,1.1843,1.2429,1.1222,1.1707,7692475.53
46,1626220800000,1.1731,1.2873,1.1433,1.23,11762476.06
47,1626307200000,1.2327,1.3765,1.178,1.2524,11475730.39
48,1626393600000,1.2551,1.3313,1.0737,1.0949,7242920.39
49,1626480000000,1.0921,1.0976,0.9952,1.0191,5338418.22
50,1626566400000,1.0165,1.112,0.9801,1.0198,4584047.96
51,1626652800000,1.0185,1.0204,0.8616,0.9034,4860721.4
52,1626739200000,0.9054,0.9055,0.77,0.8123,5180960.49
53,1626825600000,0.8118,0.9796,0.7897,0.9489,5735458.45
54,1626912000000,0.9505,1.1086,0.9465,1.0402,8423478.6
55,1626998400000,1.0407,1.1896,1.0233,1.1675,8764575.54
56,1627084800000,1.168,1.2938,1.1646,1.212,6287259.83
57,1627171200000,1.212,1.23,1.1153,1.1914,4797893.97
58,1627257600000,1.189,1.2128,1.1168,1.1473,7117290.57
59,1627344000000,1.1445,1.1788,1.051,1.1375,2331482.0
